distance,threshold,total_valid_cnt,exceed_cnt,exceed_pct
0,9,1658,8,0.48%
10,9,1658,47,2.83%
20,11,1658,36,2.17%
30,14,1658,39,2.35%
40,16,1658,65,3.92%
