distance,threshold,total_valid_cnt,exceed_cnt,exceed_pct
0,9,2327,80,3.44%
10,9,2327,250,10.74%
20,11,2325,209,8.99%
30,14,2321,160,6.89%
40,16,2317,187,8.07%
