distance,threshold,total_valid_cnt,exceed_cnt,exceed_pct
0,9,2357,69,2.93%
10,9,2357,243,10.31%
20,11,2357,321,13.62%
30,14,2357,355,15.06%
40,16,2357,402,17.06%
